user_id,event_type,event_date,event_id
U00001,signup_completed,2025-04-13,E000001
U00001,add_card,2025-04-14,E000002
U00001,transaction_success,2025-04-14,E000003
U00001,app_open,2025-04-16,E000004
U00001,app_open,2025-05-12,E000005
U00001,app_open,2025-04-14,E000006
U00001,app_open,2025-04-24,E000007
U00001,app_open,2025-04-15,E000008
U00002,signup_completed,2025-02-21,E000009
U00002,add_card,2025-02-22,E000010
U00002,app_open,2025-03-18,E000011
U00002,app_open,2025-03-06,E000012
U00002,app_open,2025-03-21,E000013
U00002,app_open,2025-02-23,E000014
U00002,app_open,2025-03-08,E000015
U00003,signup_completed,2025-04-03,E000016
U00003,add_card,2025-04-05,E000017
U00003,transaction_success,2025-04-05,E000018
U00003,app_open,2025-04-24,E000019
U00003,app_open,2025-04-29,E000020
U00003,app_open,2025-04-24,E000021
U00003,app_open,2025-04-29,E000022
U00004,signup_completed,2025-01-15,E000023
U00004,add_card,2025-01-17,E000024
U00004,transaction_success,2025-01-18,E000025
U00004,app_open,2025-02-11,E000026
U00004,app_open,2025-02-08,E000027
U00004,app_open,2025-01-23,E000028
U00004,app_open,2025-01-16,E000029
U00004,app_open,2025-01-18,E000030
U00004,app_open,2025-01-23,E000031
U00005,signup_completed,2025-04-17,E000032
U00005,add_card,2025-04-17,E000033
U00005,app_open,2025-05-05,E000034
U00005,app_open,2025-05-11,E000035
U00005,app_open,2025-05-02,E000036
U00006,signup_completed,2025-03-13,E000037
U00006,add_card,2025-03-13,E000038
U00006,app_open,2025-03-15,E000039
U00006,app_open,2025-04-11,E000040
U00007,signup_completed,2025-03-02,E000041
U00007,app_open,2025-03-09,E000042
U00007,app_open,2025-03-28,E000043
U00007,app_open,2025-03-28,E000044
U00008,signup_completed,2025-01-21,E000045
U00008,add_card,2025-01-22,E000046
U00008,transaction_success,2025-01-23,E000047
U00008,app_open,2025-02-06,E000048
U00008,app_open,2025-02-16,E000049
U00008,app_open,2025-02-08,E000050
U00008,app_open,2025-02-18,E000051
U00008,app_open,2025-02-06,E000052
U00008,app_open,2025-02-01,E000053
U00009,signup_completed,2025-04-13,E000054
U00009,app_open,2025-05-11,E000055
U00009,app_open,2025-04-21,E000056
U00009,app_open,2025-04-17,E000057
U00009,app_open,2025-04-16,E000058
U00009,app_open,2025-04-24,E000059
U00009,app_open,2025-04-28,E000060
U00009,app_open,2025-04-21,E000061
U00009,app_open,2025-05-07,E000062
U00009,app_open,2025-04-15,E000063
U00010,signup_completed,2025-03-24,E000064
U00010,app_open,2025-04-09,E000065
U00010,app_open,2025-04-20,E000066
U00011,signup_completed,2025-03-28,E000067
U00011,add_card,2025-03-30,E000068
U00011,transaction_success,2025-03-31,E000069
U00011,app_open,2025-04-15,E000070
U00011,app_open,2025-03-29,E000071
U00011,app_open,2025-04-24,E000072
U00011,app_open,2025-04-15,E000073
U00011,app_open,2025-03-29,E000074
U00011,app_open,2025-04-11,E000075
U00011,app_open,2025-04-20,E000076
U00011,app_open,2025-04-17,E000077
U00011,app_open,2025-03-30,E000078
U00012,signup_completed,2025-03-16,E000079
U00012,add_card,2025-03-18,E000080
U00012,app_open,2025-03-29,E000081
U00012,app_open,2025-04-13,E000082
U00012,app_open,2025-03-16,E000083
U00012,app_open,2025-04-10,E000084
U00012,app_open,2025-04-01,E000085
U00012,app_open,2025-04-01,E000086
U00013,signup_completed,2025-03-16,E000087
U00013,add_card,2025-03-17,E000088
U00013,transaction_success,2025-03-20,E000089
U00013,app_open,2025-03-30,E000090
U00014,signup_completed,2025-03-29,E000091
U00014,add_card,2025-03-31,E000092
U00014,app_open,2025-04-20,E000093
U00014,app_open,2025-04-02,E000094
U00014,app_open,2025-04-02,E000095
U00015,signup_completed,2025-04-27,E000096
U00015,app_open,2025-05-16,E000097
U00015,app_open,2025-05-10,E000098
U00015,app_open,2025-05-22,E000099
U00015,app_open,2025-05-25,E000100
U00015,app_open,2025-05-04,E000101
U00016,signup_completed,2025-04-10,E000102
U00016,add_card,2025-04-10,E000103
U00016,transaction_success,2025-04-12,E000104
U00016,app_open,2025-05-08,E000105
U00016,app_open,2025-04-14,E000106
U00016,app_open,2025-04-30,E000107
U00016,app_open,2025-05-07,E000108
U00016,app_open,2025-04-29,E000109
U00017,signup_completed,2025-04-14,E000110
U00017,add_card,2025-04-14,E000111
U00017,transaction_success,2025-04-15,E000112
U00017,app_open,2025-04-30,E000113
U00017,app_open,2025-05-10,E000114
U00017,app_open,2025-04-16,E000115
U00017,app_open,2025-05-12,E000116
U00017,app_open,2025-05-05,E000117
U00017,app_open,2025-04-19,E000118
U00017,app_open,2025-05-05,E000119
U00018,signup_completed,2025-01-24,E000120
U00018,add_card,2025-01-25,E000121
U00018,transaction_success,2025-01-26,E000122
U00018,app_open,2025-02-22,E000123
U00018,app_open,2025-02-15,E000124
U00018,app_open,2025-02-15,E000125
U00018,app_open,2025-02-13,E000126
U00018,app_open,2025-02-16,E000127
U00019,signup_completed,2025-01-03,E000128
U00019,add_card,2025-01-05,E000129
U00019,app_open,2025-01-06,E000130
U00019,app_open,2025-01-23,E000131
U00019,app_open,2025-01-23,E000132
U00019,app_open,2025-01-03,E000133
U00019,app_open,2025-01-17,E000134
U00019,app_open,2025-01-19,E000135
U00019,app_open,2025-01-21,E000136
U00020,signup_completed,2025-01-22,E000137
U00020,add_card,2025-01-24,E000138
U00020,transaction_success,2025-01-27,E000139
U00020,app_open,2025-01-27,E000140
U00020,app_open,2025-02-03,E000141
U00021,signup_completed,2025-02-22,E000142
U00021,add_card,2025-02-22,E000143
U00021,app_open,2025-02-22,E000144
U00021,app_open,2025-03-06,E000145
U00021,app_open,2025-03-12,E000146
U00021,app_open,2025-03-15,E000147
U00021,app_open,2025-02-22,E000148
U00021,app_open,2025-03-06,E000149
U00021,app_open,2025-03-04,E000150
U00022,signup_completed,2025-01-02,E000151
U00022,add_card,2025-01-04,E000152
U00022,transaction_success,2025-01-04,E000153
U00022,app_open,2025-01-18,E000154
U00022,app_open,2025-01-14,E000155
U00022,app_open,2025-01-15,E000156
U00022,app_open,2025-01-06,E000157
U00022,app_open,2025-01-27,E000158
U00022,app_open,2025-01-25,E000159
U00022,app_open,2025-01-23,E000160
U00022,app_open,2025-01-24,E000161
U00023,signup_completed,2025-03-29,E000162
U00023,add_card,2025-03-29,E000163
U00023,transaction_success,2025-03-31,E000164
U00023,app_open,2025-04-18,E000165
U00023,app_open,2025-04-05,E000166
U00023,app_open,2025-04-10,E000167
U00023,app_open,2025-04-15,E000168
U00023,app_open,2025-04-20,E000169
U00023,app_open,2025-04-01,E000170
U00024,signup_completed,2025-04-18,E000171
U00024,add_card,2025-04-18,E000172
U00024,app_open,2025-04-22,E000173
U00024,app_open,2025-05-01,E000174
U00024,app_open,2025-05-02,E000175
U00024,app_open,2025-05-07,E000176
U00024,app_open,2025-05-04,E000177
U00024,app_open,2025-04-23,E000178
U00024,app_open,2025-05-14,E000179
U00025,signup_completed,2025-01-30,E000180
U00025,add_card,2025-02-01,E000181
U00025,transaction_success,2025-02-04,E000182
U00025,app_open,2025-02-13,E000183
U00025,app_open,2025-02-10,E000184
U00025,app_open,2025-02-12,E000185
U00025,app_open,2025-02-24,E000186
U00025,app_open,2025-02-20,E000187
U00025,app_open,2025-02-16,E000188
U00025,app_open,2025-02-18,E000189
U00025,app_open,2025-02-04,E000190
U00025,app_open,2025-02-02,E000191
U00026,signup_completed,2025-02-07,E000192
U00026,add_card,2025-02-09,E000193
U00026,app_open,2025-02-28,E000194
U00026,app_open,2025-02-19,E000195
U00026,app_open,2025-02-18,E000196
U00027,signup_completed,2025-01-02,E000197
U00027,add_card,2025-01-04,E000198
U00027,app_open,2025-01-30,E000199
U00027,app_open,2025-01-29,E000200
U00027,app_open,2025-01-31,E000201
U00028,signup_completed,2025-03-05,E000202
U00028,app_open,2025-03-13,E000203
U00028,app_open,2025-03-08,E000204
U00028,app_open,2025-03-19,E000205
U00029,signup_completed,2025-03-01,E000206
U00029,app_open,2025-03-17,E000207
U00029,app_open,2025-03-21,E000208
U00029,app_open,2025-03-01,E000209
U00029,app_open,2025-03-07,E000210
U00029,app_open,2025-03-21,E000211
U00029,app_open,2025-03-18,E000212
U00029,app_open,2025-03-12,E000213
